MINERAL_DEPOSIT_NO,DEPOSIT_NAME,RANK,LITHOLOGY_CODE,LITHOLOGY,LITHOLOGY_MODIFIER,STRAT_UNIT_CONF,HR_STRAT_UNIT,STRAT_DESCRIPTION,STRAT_UNIT_MODIFIER
2046,SHAMROCK,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein unit 4,Undifferentiated ferruginous quartz veins.,
2047,PINNACLES,DOMINANT,MTHH,Metasomatic/Thermal/Hydrothermal Rock,"Crystalline quartz, jasper, hematite, magnetite, with limonite, manganese oxide and copper carbonate replacement body after actinolite marble.",,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",Proterozoic - Willouran - (Lower) Callanna Beds - Wywyana Formation
2074,JUNCTION AND STANLEY,DOMINANT,TCTO,Tectonite,Sheared and shattered ferruginous tillite and sandstone cut by irregular veins.,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2077,UMBERATANA,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein,"Quartz veins/bodies, undifferentiated.",
2085,WALLACE GULLY,DOMINANT,ALLV,Alluvium,Brecciated tillites,,Holocene alluvial/fluvial unit 2,Holocene alluvium slightly older than present day alluvium (Qha1); commonly in terraces adjacent to main channel.,
2086,WEALTHY KING,DOMINANT,IRSU,Ironstone (Undiff. Origin),,,Opaminda Formation,"Siltstone, dark grey well bedded; pale green talcose shale; amphibolite; marble.",
2088,WHEAL AUSTIN,DOMINANT,JASP,Jasper,BRECCIATED FERRUGINOUS QUARTZITE; JASPEROID,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2089,WHEAL FROST,DOMINANT,TCTO,Tectonite,Sheared and shattered quartzite,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2090,WHEAL GLEESON SOUTH NO.2,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein,"Quartz veins/bodies, undifferentiated.",
2091,WHEAL GLEESON,DOMINANT,BREC,Breccia (Undiff. Origin),Sheared and brecciated country rock includin ferruginous rubbly slate with irregular quartz veins and micaceous hematite.,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2096,WILLIGAN,DOMINANT,BREC,Breccia (Undiff. Origin),Brecciated quartz and jasper,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2103,YUDNAMUTANA,DOMINANT,BREC,Breccia (Undiff. Origin),,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2104,SIR DOMINIC,DOMINANT,TCTO,Tectonite,Sheared kaolinitic and silicified crush zone material after host rock stratigraphy.,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.","Wywyana Formation, Wooltana Volcanics and Blue Mine Conglomerate of the Proterozoic (Adelaidean)  Willouran Callana Beds."
2105,DALY,DOMINANT,MTHH,Metasomatic/Thermal/Hydrothermal Rock,"Quartzose (boulder) conglomerate. In the southern part of the workings it is a coarse conglomerate composed of boulders up to 0.6m in diameter of rounded to sub-angular quartz and quartzite in a kaolinitic gritty matrix. Northwards, the unit becomes thinner and finer grained consisting of 12-14m of sandstone with scattered boulders and pebbles .",,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2106,OLD KNOLL,DOMINANT,FBRC,Fault Breccia,"The zone consists of sheared and brecciated greywacke-tillite and fine dark quartzite with kaolinitic material and ferruginous gossan,  to brecciated siliceous zones with quartz and ferruginous ironstone gossan at suface. At depth the zone is composed of quartz-chlorite-sericite fragments surrounded by pyrite and minor chalcopyrite, passing into meta-siltstones strongly fractured with pyrite and minor chalcopyrite, with fracturing decreasing away from the  shear zone.",,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2107,JUBILEE,DOMINANT,MTHH,Metasomatic/Thermal/Hydrothermal Rock,"SILICLASTIC, Brecciated slated, hornfels and arkosic grits.  Sheared siliceous  and ferruginous gossan.",,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2114,BLACK QUEEN EAST,DOMINANT,VEIN,Vein (Undifferentiated),gossanous,,quartz vein unit 4,Undifferentiated ferruginous quartz veins.,
2115,BLACK QUEEN WEST,DOMINANT,VEIN,Vein (Undifferentiated),"sheared, brecciated, with hematite matrix",,quartz vein unit 4,Undifferentiated ferruginous quartz veins.,
2116,BLUE,DOMINANT,TCTO,Tectonite,Sheared micaceous and chloritic schist with specular hematite and copper carbonates associated with vein quartz.,?,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2118,COCKSCOMB,DOMINANT,FBRC,Fault Breccia,shear zone associated with hematite and quartz. gossan developed on a vein.,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2144,GRAND JUNCTION,DOMINANT,MTHH,Metasomatic/Thermal/Hydrothermal Rock,Calc-silicate hornfels and actinolite-epidote hornfels,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2151,HAMILTON,DOMINANT,BREC,Breccia (Undiff. Origin),"Calcareous, ferruginous and siliceous.",,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
2160,MOUNT MCDONNELL,DOMINANT,TCTO,Tectonite,Sheared hemetitised actinolite-scapolite rock.,,hydrothermal alteration,"Hydrothermal alteration, undifferentiated.",
4157,BALANCING ROCK,DOMINANT,TCTO,Tectonite,"banded, calcite",,Blue Mine Conglomerate,"Conglomerate, pink, heavy-mineral laminated, arkosic; minorsandstone; dark grey laminated siltstone.",
4166,BERNINIS,DOMINANT,VEIN,Vein (Undifferentiated),quartz,,quartz vein,"Quartz veins/bodies, undifferentiated.",
4255,GREAT OVERSIGHT,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein unit 4,Undifferentiated ferruginous quartz veins.,
4307,MOLLER AND RANKINES,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein unit 3,Quartz vein as fault-fill.,
4314,MOULES CLAIM,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein unit 1,Quartz-haematite veins: ADELAIDE/BARKER digital database.,
4418,VALLEY,DOMINANT,VEIN,Vein (Undifferentiated),Quartz-actinolite fracture zones with infillings of uranium mineralisation and as small pods and lenses,,quartz vein unit 3,Quartz vein as fault-fill.,
4429,WHEAL MARIA,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein,"Quartz veins/bodies, undifferentiated.",
4444,YELDA,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein,"Quartz veins/bodies, undifferentiated.",
9208,WHEAL GLEESON SOUTH 1,DOMINANT,REGO,Regolith,,,Wooltana Volcanics,"Basalt lava, often amygdaloidal, deuterically-altered or metamorphosed, red and purple; quartzite, heavy-mineral-laminated, red or grey; shale and siltstone, red and purple; tuff; rare trachyte, calcareous metasediment.",
9223,WATERFALL CREEK,DOMINANT,VEIN,Vein (Undifferentiated),,,quartz vein,"Quartz veins/bodies, undifferentiated.",
9224,PINNACLES SOUTH,DOMINANT,REGO,Regolith,,,Wywyana Formation,Calcsilicate; marble; actinolite amphibolite.,
